CITY,COUNTRY,DATE,LATITUDE,LONGITUDE,MODEL,Monthly target,ORDERS,On time deliveries,PART,Production Cost,Production Type,QA pass rate,REVENUE,Repairs Processed,Shipping Cost,Shipping container utilization,Units produced,Warehouse Code,Warehouse Name,Warranties processed,Warranty claims,_BATCH_ID_,_BATCH_LAST_RUN_
Hualien,Taiwan,2024-07-07,24.0230999,121.617996,RDX-EU,719.0,719.0,0.9,Complete Bike,13523.0,Complete Bike,0.86,22289.0,16.0,236.09,0.87,846.0,DLS,Hualien Facility,15.0,16.0,1.0,2025-05-03 13:29:46
Kashi,China,2024-07-07,39.5429001,76.0199966,MTX-5000,666.0,606.0,0.9,Rotors,246.0,Component,0.9,515.15,12.0,229.4,0.93,822.0,PVP,Kashgar Warehouse,11.0,12.0,1.0,2025-05-03 13:29:46
Loei,Thailand,2024-07-07,17.4391003,101.722,MTX-2000,815.0,782.0,0.93,Front derailleur ,236.0,Component,0.9,524.21,32.0,250.05,0.86,896.0,ETL,Loei Warehouse,16.0,16.0,1.0,2025-05-03 13:29:46
Nhatrang,Vietnam,2024-07-07,12.2275,109.192001,RDX-EU,411.0,382.0,0.91,Suspension,1426.0,Component,0.89,2293.38,42.0,141.77,0.89,508.0,JFU,Nha Trang Plant,13.0,14.0,1.0,2025-05-03 13:29:46
Yonaguni Jima,Japan,2024-07-07,24.4668999,122.977997,RDX-EU,711.0,668.0,0.91,Suspension,1659.0,Component,0.89,4010.04,52.0,215.72,0.85,773.0,WRV,Yonaguni Warehouse,12.0,13.0,1.0,2025-05-03 13:29:46
Tokyo,Japan,2024-08-06,35.7647018,140.386002,RDX-EU,724.0,702.0,0.9,Shifter-L,170.0,Component,0.94,386.25,13.0,217.12,0.82,778.0,AZJ,Narita International Facility,12.0,13.0,1.0,2025-05-03 13:29:46
Nhatrang,Vietnam,2024-08-06,12.2275,109.192001,RDX-EU,696.0,682.0,0.95,Pedals,314.0,Component,0.89,579.77,32.0,231.07,0.87,828.0,JFU,Nha Trang Plant,30.0,32.0,1.0,2025-05-03 13:29:46
Ho Chi Minh City,Vietnam,2024-08-06,10.8188,106.652,RDX-EU,659.0,652.0,0.89,Suspension,1690.0,Component,0.96,3914.46,45.0,176.93,0.94,634.0,QGX,Tan Son Nhat International Facility,14.0,15.0,1.0,2025-05-03 13:29:46
Dalian,China,2024-08-06,38.9656982,121.539001,MTX-2000,644.0,567.0,0.97,Brake Lever,219.0,Component,0.82,368.37,10.0,179.72,0.95,644.0,BAQ,Zhoushuizi Warehouse,10.0,10.0,1.0,2025-05-03 13:29:46
Bangkok,Thailand,2024-09-06,13.9125996,100.607002,RDX-USA,693.0,610.0,0.89,Complete Bike,9430.0,Complete Bike,0.9,22564.08,14.0,199.26,0.84,714.0,VYB,Don Mueang International Warehouse,13.0,14.0,1.0,2025-05-03 13:29:46
